+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        157 |   0.68 |  20.52 |    13.09 |    26.93 |    19.11 |     22.21 |     35.28 |  task_4275_cp2k_singlepoint_pre |
|        158 |   0.70 |  16.56 |    11.99 |    21.14 |    18.44 |     17.02 |     24.02 |  task_4279_cp2k_singlepoint_pre |
|        159 |   0.65 |  22.82 |    14.54 |    29.70 |    24.42 |     22.51 |     39.72 |  task_4281_cp2k_singlepoint_pre |
|        160 |   0.68 |  17.58 |    12.29 |    22.92 |    19.80 |     17.79 |     26.37 |  task_5254_cp2k_singlepoint_pre |
|        161 |   0.45 |  21.15 |    13.90 |    27.48 |    22.90 |     21.56 |     34.53 |  task_5256_cp2k_singlepoint_pre |
|        162 |   0.82 |  19.26 |    13.03 |    23.51 |    21.04 |     19.60 |     31.81 |  task_5268_cp2k_singlepoint_pre |
|        163 |   0.64 |  23.19 |    13.94 |    26.28 |    23.18 |     25.07 |     42.55 |  task_5262_cp2k_singlepoint_pre |
|        164 |   0.73 |  16.19 |    12.13 |    21.90 |    18.10 |     15.91 |     22.67 |  task_5260_cp2k_singlepoint_pre |
|        165 |   0.41 |  20.21 |    13.23 |    24.73 |    20.42 |     21.99 |     33.41 |  task_5258_cp2k_singlepoint_pre |
|        166 |   0.81 |  17.52 |    12.43 |    25.12 |    19.99 |     16.86 |     25.01 |  task_5266_cp2k_singlepoint_pre |
|        167 |   0.71 |  22.61 |    14.31 |    27.89 |    23.42 |     23.44 |     39.61 |  task_5264_cp2k_singlepoint_pre |
|        168 |   0.85 |  16.97 |    12.20 |    23.23 |    18.48 |     16.57 |     25.78 |  task_5276_cp2k_singlepoint_pre |
|        169 |   0.58 |  21.85 |    14.90 |    30.24 |    21.51 |     23.00 |     34.35 |  task_5270_cp2k_singlepoint_pre |
|        170 |   0.78 |  18.63 |    12.86 |    26.20 |    20.50 |     18.49 |     28.02 |  task_5282_cp2k_singlepoint_pre |
|        171 |   0.70 |  21.60 |    14.54 |    27.33 |    23.06 |     22.30 |     34.99 |  task_5274_cp2k_singlepoint_pre |
|        172 |   0.85 |  17.81 |    12.44 |    22.21 |    19.69 |     17.90 |     28.32 |  task_5280_cp2k_singlepoint_pre |
|        173 |   0.46 |  21.04 |    13.20 |    25.98 |    22.43 |     22.23 |     35.51 |  task_5272_cp2k_singlepoint_pre |
|        174 |   0.79 |  16.82 |    12.51 |    23.99 |    17.40 |     16.27 |     25.26 |  task_5278_cp2k_singlepoint_pre |
|        175 |   0.47 |  22.83 |    14.44 |    28.05 |    23.04 |     23.90 |     40.40 |  task_5284_cp2k_singlepoint_pre |
|        176 |   0.76 |  16.25 |    12.24 |    19.64 |    17.49 |     16.92 |     23.72 |  task_5298_cp2k_singlepoint_pre |
|        177 |   0.63 |  23.79 |    14.72 |    31.73 |    24.42 |     24.88 |     40.43 |  task_5286_cp2k_singlepoint_pre |
